Wojewodztwa,Rok,Ogolem,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 >
Dolnoslaskie  ,2017,32038,144,17,17,46,95,125,216,337,460,652,979,2087,3196,4000,2887,3329,4578,8873
Kujawsko-pomorskie  ,2017,21252,123,10,6,35,70,107,153,203,304,448,737,1247,2036,2574,2017,2467,3130,5585
Lubelskie  ,2017,23427,110,15,11,41,94,98,151,229,322,469,710,1299,1851,2317,2059,2530,3579,7542
Lubuskie  ,2017,10285,54,5,6,22,36,52,74,104,141,239,373,718,1082,1343,964,1011,1375,2686
Lodzkie  ,2017,31172,126,11,18,39,91,153,232,352,460,708,1033,1814,2892,3501,2989,3388,4490,8875
Malopolskie  ,2017,31852,170,25,23,54,87,114,214,261,398,595,988,1698,2507,3084,2979,3591,5157,9907
Mazowieckie  ,2017,57237,242,21,30,111,174,266,416,561,876,1099,1645,3077,5053,5783,5068,6054,8642,18119
Opolskie  ,2017,10880,38,2,4,12,20,49,77,92,139,222,323,625,964,1206,981,1476,1767,2883
Podkarpackie  ,2017,19327,86,11,12,33,68,88,101,175,268,362,620,1065,1468,1807,1721,2255,3113,6074
Podlaskie  ,2017,12526,62,3,10,16,44,70,79,138,151,238,413,727,955,1117,953,1302,1958,4290
Pomorskie  ,2017,21650,117,12,11,35,81,93,138,200,319,413,704,1278,2181,2644,2022,2519,3078,5805
Slaskie  ,2017,51404,204,9,17,59,122,226,405,530,754,1087,1730,3268,4919,5945,5242,6754,7710,12423
Swietokrzyskie  ,2017,14330,39,6,4,21,50,66,106,127,195,282,421,837,1238,1525,1223,1538,2123,4529
Warminsko-mazurskie  ,2017,14423,71,3,9,37,53,78,121,176,232,331,550,941,1464,1650,1245,1601,2008,3853
Wielkopolskie  ,2017,33261,181,15,24,73,122,168,235,339,507,666,1058,2083,3075,4011,3248,3738,4841,8877
Zachodniopomorskie,2017,17788,78,13,7,27,44,83,129,195,269,362,545,1133,1846,2391,1666,1999,2433,4568
