Wojewodztwa,Rok,Ogolem,Mezczyzni,Kobiety
Dolnoslaskie,2017,2902547,1395407,1507140
Kujawsko-pomorskie,2017,2082944,1009311,1073633
Lubelskie,2017,2126317,1030453,1095864
Lubuskie,2017,1016832,494930,521902
Lodzkie,2017,2476315,1179869,1296446
Malopolskie,2017,3391380,1645986,1745394
Mazowieckie,2017,5384617,2576174,2808443
Opolskie,2017,990069,478960,511109
Podkarpackie,2017,2129138,1042812,1086326
Podlaskie,2017,1184548,577406,607142
Pomorskie,2017,2324251,1131951,1192300
Slaskie,2017,4548180,2192913,2355267
Swietokrzyskie,2017,1247732,608515,639217
Warminsko-mazurskie,2017,1433945,701585,732360
Wielkopolskie,2017,3489210,1697701,1791509
Zachodniopomorskie,2017,1705533,829202,876331
