Wojewodztwa,Rok,Ogolem,Mezczyzni,Kobiety
Kujawsko-pomorskie,2002,2069166,999589,1069577
Lubelskie,2002,2196992,1067490,1129502
Lubuskie,2002,1008196,489699,518497
Lodzkie,2002,2607380,1243836,1363544
Malopolskie,2002,3237217,1571472,1665745
Mazowieckie,2002,5128623,2463736,2664887
Opolskie,2002,1061009,514839,546170
Podkarpackie,2002,2105050,1030048,1075002
Podlaskie,2002,1207704,590589,617115
Pomorskie,2002,2183636,1063423,1120213
Slaskie,2002,4731533,2289801,2441732
Swietokrzyskie,2002,1295885,632911,662974
Warminsko-mazurskie,2002,1428449,698199,730250
Wielkopolskie,2002,3355279,1628201,1727078
Zachodniopomorskie,2002,1697718,826954,870764
